order_id,product_id,product_name,category,quantity,price_per_unit,discount_percent,region,sales_channel,order_date,customer_id,customer_name,payment_method,order_status,sales_rep,total_price
ORD10000,PRD402,The,Toys,7,380.83,10,East,Online,2025-06-17,CUST1681,Alicia Brown,Cash,Cancelled,Kelly Flores,2399.229
ORD10001,PRD923,Daughter,Toys,3,380.83,20,East,Online,2025-07-06,CUST8949,Christina Moore,Wire Transfer,Completed,Dawn Orozco,913.9920000000001
ORD10002,PRD720,Raise,Books,7,380.83,10,South,Retail,2025-01-25,CUST7561,Dennis Warner,Credit Card,Returned,Mark Hartman,2399.229
ORD10003,PRD186,Often,Furniture,9,380.83,20,South,Wholesale,2024-11-05,CUST2899,Crystal Rodriguez,PayPal,Returned,Sean Butler,2741.976
ORD10004,PRD963,After,Furniture,1,380.83,10,North,Online,2024-09-25,CUST7924,Kelsey Fields,Cash,Cancelled,Jason Evans,342.747
ORD10005,PRD830,Land,Electronics,7,380.83,10,West,Wholesale,2025-02-05,CUST8736,James Mcgrath,Wire Transfer,Completed,Thomas Wilson,2399.229
ORD10006,PRD443,Take,Clothing,1,380.83,5,West,Retail,2024-12-08,CUST3157,Patricia Rodriguez,Wire Transfer,Returned,Michelle Richardson,361.78849999999994
ORD10007,PRD838,Owner,Books,8,380.83,0,South,Online,2025-05-23,CUST8129,Pamela Webster,Credit Card,Pending,Joseph Robinson,3046.64
ORD10008,PRD221,Ten,Electronics,6,380.83,10,West,Online,2025-07-20,CUST8389,Robin White,Cash,Completed,Kristin Tucker,2056.482
ORD10009,PRD859,Eight,Books,3,380.83,15,South,Retail,2025-06-15,CUST6320,Wesley Martin,Cash,Completed,Patrick Mckinney,971.1165
ORD10010,PRD302,Wear,Toys,8,380.83,5,South,Retail,2025-03-28,CUST5892,Brandon Lee,Cash,Cancelled,David Nelson,2894.3079999999995
ORD10011,PRD362,Four,Books,4,380.83,20,South,Online,2025-03-09,CUST8379,Erik Pittman,Wire Transfer,Pending,Chris Watson,1218.656
ORD10012,PRD610,Claim,Furniture,3,380.83,5,North,Online,2025-08-04,CUST8408,Jordan Berger,Cash,Pending,Kayla Cole,1085.3654999999999
ORD10013,PRD898,It,Clothing,8,380.83,10,East,Wholesale,2025-06-18,CUST9219,Rachael Barr,PayPal,Pending,Thomas Nelson,2741.976
ORD10014,PRD226,Up,Toys,2,380.83,0,South,Wholesale,2025-06-29,CUST9416,Edward Garcia,Credit Card,Completed,Jonathan Allen,761.66
ORD10015,PRD640,Them,Books,6,380.83,10,South,Online,2024-09-14,CUST5324,Dr. Debra Johnson MD,Credit Card,Returned,Erin Flynn,2056.482
ORD10016,PRD121,Yeah,Furniture,3,380.83,15,West,Online,2025-04-12,CUST9204,David Fleming,Credit Card,Pending,Sarah Hull,971.1165
ORD10017,PRD300,Lay,Clothing,6,380.83,5,East,Retail,2025-05-30,CUST5376,Jon Harrison,PayPal,Completed,Heather Fischer,2170.7309999999998
ORD10018,PRD830,Into,Clothing,3,380.83,15,East,Retail,2025-02-15,CUST2363,Matthew Lozano,PayPal,Cancelled,Jonathan Carr,971.1165
ORD10019,PRD182,Series,Books,9,380.83,20,East,Wholesale,2025-01-25,CUST7044,Christopher Malone,Wire Transfer,Returned,Stephanie Patel,2741.976
ORD10020,PRD341,Wind,Electronics,5,380.83,5,West,Wholesale,2025-02-19,CUST5869,Christopher Woods,Cash,Returned,Elaine Holmes,1808.9424999999999
ORD10021,PRD450,About,Books,4,380.83,15,North,Online,2025-03-03,CUST5064,Deborah Adams,Wire Transfer,Cancelled,Jessica Mccall,1294.822
ORD10022,PRD280,May,Toys,3,380.83,5,South,Retail,2025-02-03,CUST1253,Matthew Murphy,PayPal,Returned,Logan Crawford,1085.3654999999999
ORD10023,PRD335,Card,Furniture,5,380.83,5,North,Online,2025-05-07,CUST1487,Andrew Reed,PayPal,Pending,Robert Vega,1808.9424999999999
ORD10024,PRD656,Bed,Toys,6,380.83,20,West,Retail,2024-10-10,CUST6301,Heather Hurst,Wire Transfer,Returned,Toni Beltran,1827.9840000000002
ORD10025,PRD782,Return,Furniture,6,380.83,5,South,Online,2025-06-01,CUST5807,Michael Carson,PayPal,Completed,Lori Young,2170.7309999999998
ORD10026,PRD539,Citizen,Toys,3,380.83,20,East,Retail,2025-01-21,CUST1585,Austin Cruz,Cash,Completed,Mary Jones,913.9920000000001
ORD10027,PRD637,Painting,Toys,5,380.83,5,East,Online,2025-03-13,CUST1569,Penny Garcia DDS,Credit Card,Pending,Stacy Hansen,1808.9424999999999
ORD10028,PRD228,Purpose,Clothing,1,380.83,20,North,Online,2025-01-02,CUST7714,Beth Cochran,PayPal,Pending,Christina Anderson,304.664
ORD10029,PRD898,Everyone,Toys,5,380.83,10,West,Retail,2025-01-17,CUST6749,Monica Lee,Wire Transfer,Returned,Christopher Abbott,1713.735
ORD10030,PRD890,Fish,Toys,4,380.83,5,South,Retail,2024-10-09,CUST5878,John Moore,PayPal,Pending,Jerry Clark,1447.1539999999998
ORD10031,PRD654,Shoulder,Electronics,1,380.83,0,West,Wholesale,2025-02-09,CUST6800,Christopher Wolfe,PayPal,Cancelled,Joseph Chan,380.83
ORD10032,PRD715,High,Clothing,7,380.83,5,West,Retail,2025-07-16,CUST1235,Darryl Morris,PayPal,Completed,Rebecca Peterson,2532.5195
ORD10033,PRD370,Protect,Furniture,1,380.83,20,West,Online,2025-05-27,CUST2027,Samuel Werner,Wire Transfer,Completed,David James,304.664
ORD10034,PRD926,Product,Clothing,9,380.83,5,West,Online,2025-04-08,CUST9652,Kayla Owens,Credit Card,Cancelled,Aaron Douglas,3256.0964999999997
ORD10035,PRD773,None,Books,6,380.83,0,North,Retail,2025-01-21,CUST2255,James Cabrera,Wire Transfer,Returned,Mrs. Patricia Kelley DDS,2284.98
ORD10036,PRD456,Require,Furniture,5,380.83,20,West,Retail,2024-08-22,CUST9578,Daniel Fleming,Cash,Completed,Sheryl Christian,1523.32
ORD10037,PRD994,Plan,Clothing,1,380.83,10,East,Retail,2024-10-13,CUST3817,Randy Williamson,Cash,Cancelled,John Collins,342.747
ORD10038,PRD832,Run,Books,4,380.83,5,South,Online,2024-12-09,CUST7176,Melissa Buck,PayPal,Returned,Travis Green,1447.1539999999998
ORD10039,PRD302,Parent,Electronics,9,380.83,15,North,Wholesale,2025-04-08,CUST1670,Heather Rogers,Credit Card,Pending,Grant Morris,2913.3495
ORD10040,PRD862,Teacher,Electronics,6,380.83,20,East,Retail,2024-10-16,CUST6461,Donald Gonzales,Wire Transfer,Cancelled,John Pruitt,1827.9840000000002
ORD10041,PRD235,Remember,Books,1,380.83,10,West,Wholesale,2025-06-15,CUST8236,Anthony Long,Credit Card,Returned,Trevor Gonzales,342.747
ORD10042,PRD455,Music,Toys,4,380.83,15,West,Retail,2024-08-14,CUST2858,Kyle Higgins,PayPal,Returned,Alexandria Davis,1294.822
ORD10043,PRD440,Heavy,Electronics,2,380.83,0,West,Online,2025-07-12,CUST2530,Ms. Tracey Love MD,Wire Transfer,Cancelled,Jason Branch,761.66
ORD10044,PRD597,Action,Clothing,9,380.83,0,North,Retail,2025-06-29,CUST1387,Thomas Mason,Cash,Cancelled,John Rogers,3427.47
ORD10045,PRD153,Seek,Toys,7,380.83,10,North,Retail,2025-03-31,CUST5474,Catherine Scott,PayPal,Pending,Victoria Austin,2399.229
ORD10046,PRD857,Seem,Books,7,380.83,20,North,Wholesale,2025-07-04,CUST9665,Ashley Morrison,PayPal,Cancelled,Bobby Morris,2132.648
ORD10047,PRD759,Give,Furniture,3,380.83,15,West,Retail,2025-04-07,CUST1794,Danny Sanchez,Cash,Returned,Daryl Ellis,971.1165
ORD10048,PRD971,Factor,Books,2,380.83,5,North,Retail,2025-07-20,CUST9703,Fred Wang,Cash,Completed,Emily Smith,723.5769999999999
ORD10049,PRD636,Book,Toys,2,380.83,0,East,Online,2025-06-09,CUST2363,Stephanie Stone,PayPal,Cancelled,Casey Johnson PhD,761.66
ORD10050,PRD111,Business,Electronics,9,380.83,5,South,Online,2024-09-26,CUST1909,Janet Stein,Credit Card,Pending,Vicki Ward,3256.0964999999997
ORD10051,PRD907,Improve,Toys,6,380.83,20,East,Online,2025-03-20,CUST2411,Angel Hansen,PayPal,Returned,Chris Garcia,1827.9840000000002
ORD10052,PRD133,Return,Furniture,8,380.83,15,West,Wholesale,2025-04-28,CUST4964,Karen Crawford,Credit Card,Pending,Shelby Gonzalez,2589.644
ORD10053,PRD946,News,Clothing,6,380.83,0,East,Wholesale,2025-05-27,CUST7767,Robert Brock,Credit Card,Pending,Michael Sandoval,2284.98
ORD10054,PRD589,Painting,Furniture,4,380.83,10,West,Wholesale,2025-04-22,CUST9662,Beverly Garcia,Wire Transfer,Returned,Christine Aguilar,1370.988
ORD10055,PRD952,Second,Clothing,8,380.83,10,South,Online,2024-08-28,CUST9739,Chad Butler,Wire Transfer,Cancelled,Amy Lewis,2741.976
ORD10056,PRD744,Play,Furniture,5,380.83,20,East,Retail,2024-09-14,CUST7297,William Harris,Cash,Returned,Cathy Collins,1523.32
ORD10057,PRD757,Here,Furniture,8,380.83,15,East,Online,2024-11-26,CUST9017,Deborah Tate,PayPal,Cancelled,Mr. Frank Scott,2589.644
ORD10058,PRD639,Cell,Books,2,380.83,5,North,Wholesale,2025-05-31,CUST8848,Richard Cortez,Wire Transfer,Cancelled,Charles Sullivan,723.5769999999999
ORD10059,PRD840,Near,Toys,9,380.83,5,West,Online,2024-12-05,CUST2697,Heather Glenn,PayPal,Pending,Joseph Thomas,3256.0964999999997
ORD10060,PRD695,Imagine,Toys,8,380.83,20,East,Wholesale,2024-10-29,CUST3897,Dana Johnson,PayPal,Returned,Heather Moore,2437.312
ORD10061,PRD850,Commercial,Clothing,2,380.83,5,South,Retail,2024-08-08,CUST6491,Kaitlyn Nelson,Cash,Pending,Richard Freeman,723.5769999999999
ORD10062,PRD540,Throw,Books,9,380.83,15,North,Retail,2025-04-22,CUST2291,David Cantrell,PayPal,Cancelled,Jennifer Odonnell,2913.3495
ORD10063,PRD829,Put,Furniture,3,380.83,15,East,Wholesale,2025-03-21,CUST3406,Michael Kaiser,PayPal,Cancelled,Christian Smith,971.1165
ORD10064,PRD812,Military,Toys,7,380.83,15,East,Retail,2025-02-17,CUST1805,Amy Gould,Credit Card,Cancelled,Colleen Henderson,2265.9384999999997
